Headline,Link,Summary,Date,Classified
Överens om nytt krav – efter bråket,https://www.expressen.se/ekonomi//nyheter/politik/tidopartierna-overens-om-ny-arbetskraftsinvandring/,Nya regler för arbetskraftsinvandring,2025-10-15,False
S svar på Svantessonsbudget – sju faktorerna,https://www.expressen.se/ekonomi//nyheter/politik/s-forslaget-tillvaxtpakt-for-sverige/,Mikael Damberg skriver på Di Debatt,2025-10-15,False
Hårda kravet på Spotify: ”Inga konkreta bevis”,/ekonomi/tech/kravet-pa-spotify-infor-transparens/,Musikerförbundet vill veta mer,2025-10-15,False
EQT stuvar om – byter styrelseordförande,/ekonomi/jean-eric-salata-blir-ny-styrelseordforande-i-eqt/,Conni Jonsson lämnar,2025-10-15,False
Köttfärsen blir dyrare:”Påverkar plånboken”,/ekonomi/privatekonomi/kottfars-gor-matkassen-dyrare/,Matpriset steg i september,2025-10-15,False
Kontakta redaktionen direkt,https://www.expressen.se/ekonomi//nyheter/har-du-ett-nyhetstips-eller-bilder/,"Har du tips, bilder eller filmklipp?",2025-10-15,False
Allsvenskan 2025,https://www.expressen.se/ekonomi//sport/fotboll/allsvenskan/expressens-allsvenska-chattbot/,Ställ dina frågor – och få svar direkt!,2025-10-15,False
No headline,https://www.expressen.se/ekonomi//tv/nyheter/dokumentar-skarakannibalens-offer/,Marcus mamma mördades,2025-10-15,False
Drömmen som blev sann,https://www.expressen.se/ekonomi//sport/fotboll/allsvenskan/dokumentar-exklusiv-inblick-bakom-kulisserna-pa-mjallbys-framgangar/,Exklusiv dokumentär om Mjällby,2025-10-15,False
Dog en månad efter diagnosen,https://www.expressen.se/ekonomi/https://halsoliv.expressen.se/halsa/sjukdomar--besvar-1/mikael-dog-en-manad-efter--cancerdiagnosen-en-chock/,Sambon: ”Hann knappt förstå”,2025-10-15,False
