Headline,Link,Summary,Classified
Sparkad chef drar Koenigsegg inför rätta,https://www.di.se/nyheter/koenigsegg-sparkar-chef-svarar-med-miljonstamning/,Anklagades för att Porschebesök hotade miljardinvestering,True
Dags att visa korten – en stökig börsvecka hotar,https://www.di.se/nyheter/dags-att-visa-korten-en-stokig-borsvecka-hotar/,Här är de viktigaste händelserna i veckan,True
Miljardlyft för familjeimperiet – brakförlusten utraderad,https://www.di.se/nyheter/miljardlyft-for-familjeimperiet-efter-brakforlusten/,Stenachefen efter vändningen: ”Visar styrkan”,True
Uselt år för småbolagsfonder – så bör du tänka nu,https://www.di.se/nyheter/usel-utveckling-for-smabolagsfonder-sa-bor-du-tanka/,Di listar Sverigefonderna som gått bäst – och sämst – i år,True
"Analys.Fram med sockret, Siemiatkowski",https://www.di.se/analys/klarnagrundaren-maste-sockra-budet/,Robert Anderssonräknar ut ett skäligt pris i Flats Klarna-affär,True
Chefsjuristen: Flat måste omförhandla Klarna-affären,https://www.di.se/nyheter/chefsjurist-mjukare-siemiatkowski-ger-slaglage-for-flat-capitals-styrelse/,”Hänger på en ganska skör tråd”,True
Debatt.Siemiatkowski: Lösningen inte perfekt – men framtidsinriktad,https://www.di.se/debatt/ingen-perfekt-losning-men-den-mest-framtidsinriktade/,No summary,True
AP2-chefens svar på hårda bakläxan: En arg apa,https://www.di.se/nyheter/ap2-chefen-svarade-pa-harda-baklaxan-med-arg-apa/,Moderattopp i hård attack: ”En lekstuga”,True
Tv: AP-toppen om regeringens plan för att slippa kritik,https://www.di.se/ditv/nyheter/ap-toppen-i-hemlig-inspelning/,No summary,True
Infekterat maktbråk plågar AP-fonderna,https://www.di.se/nyheter/infekterat-maktbrak-plagar-ap-fonderna/,No summary,True
Toppchefen varnar: Det börjar likna it-bubblan,https://www.di.se/nyheter/toppchefen-varnar-det-borjar-likna-it-bubblan/,Expertens bubbeltecken: Historiskt höga vinstförväntningar,True
Fortsatt stort sug efter begagnade elbilar,https://www.di.se/nyheter/fortsatt-stort-sug-efter-begagnade-elbilar/,Di listar bästsäljarna – så går det för Tesla,True
Aktiespararna: Rusa inte in i arvodeshöjningar,https://www.di.se/nyheter/aktiespararna-rusa-inte-in-i-arvodeshojningar/,Ser risk för kompetensflykt,True
No headline,https://www.di.se/nyheter/anna-karin-hatt-lamnar-som-partiledare-for-c/,No summary,False
Kommentar.De är Electrolux enda vinnare,https://www.di.se/analys/de-ar-electrolux-enda-vinnare/,Magnus DagelDags för toppduon att öppna sina välfyllda plånböcker,False
No headline,https://www.di.se/nyheter/bolagets-slutprodukt-nya-manniskor/,No summary,False
Kommentar.Hur lågt vågar Riksbanken gå?,https://www.di.se/nyheter/hur-lagt-vagar-riksbanken-ga/,Nils ÅkessonRäknar med inflationsfall nästa år,False
Matpriserna sjönk för andra månaden i rad,https://www.di.se/live/matpriserna-sjonk-i-september/,No summary,False
SEB handlade EQT-aktier – med insiderinformation,https://www.di.se/nyheter/seb-handlade-eqt-aktier-i-egen-bok-hade-insiderinformation/,Storbankens försäljningar i riskkapitaljätten granskas av FI,False
Åtta misstänks för insiderbrott – SEB synas,https://www.di.se/nyheter/atta-misstanks-for-insiderbrott-kopplat-till-eqt-transaktioner/,Förhandsinformation misstänkt ha läckt inför stora affärer i EQT-aktien,False
Börsen öppnar uppåt – Nibe lyfter,https://www.di.se/live/borsen-stiger-i-oppningen-atlas-copco-vinnare/,Atlas Copco stiger på kundens rapport • Emilshus rapportstiger,False
Fem saker att ha koll på under handelsdagen,https://www.di.se/live/fem-saker-att-ha-koll-pa-infor-borsoppningen-224/,No summary,False
Riktkurshöjningarna haglar över Ericsson,https://www.di.se/live/nibe-kopstamplas-har-ar-dagens-rekar/,No summary,False
AI gör mobilen till ”självkörande” bil,https://www.di.se/digital/ai-gor-mobilen-till-sjalvkorande-bil/,Svenskt AI-körkortstest tar plats i Time Magazine topplista 2025,False
Hennes app säljer för en miljard: ”Rejält lönsamma”,https://www.di.se/digital/hennes-app-saljer-for-en-miljard-marginal-pa-25-procent/,Lanserar ny tjänst • Siktar på ny runda före börsen,False
Ny svensk AI-agent värderas till 300 miljoner,https://www.di.se/digital/duon-tar-in-63-miljoner-till-ny-ai-agent/,"Grundarna har en bakgrund på Spotify, Kry och Google",False
Kommentar.Ett eko från finanskrisen,https://www.di.se/analys/lyssna-pa-ekot-fran-finanskrisen/,Viktor MunkhammarMönstret är välbekant – och kollapsen visar på riskerna,False
Rapportrally i LVMH lyfter lyxsektorn,https://www.di.se/live/rapportrally-i-lvmh-lyfter-lyxsektorn/,Analytiker: ”Steg i rätt riktning”,False
Kommentar.Gasellerna visar vägen genom kaoset,https://www.di.se/nyheter/gasellerna-visar-vagen-genom-kaoset/,Nils ÅkessonÖver 1.600 snabbväxare ger framtidstro trots kroniska världskriser,False
Gasell 2025 drar igång med nya regler,https://www.di.se/nyheter/gasell-2025-drar-igang-med-nya-regler/,Storleken har betydelse med uppdaterade kategorier,False
Ledare.Dessa bolag vet vad Sverige mår bäst av,https://www.di.se/ledare/gasellerna-vet-vad-sverige-mar-bast-av/,Henrik WestmanReformer krävs för att förbättra konkurrenskraften,False
”Rösten för brösten” fick effekt i kamp om miljonerna,https://www.di.se/nyheter/fran-rosa-tuttreklam-till-genombrott-i-tuff-kamp-om-miljonerna/,”Vill man att pengarna ska gå direkt till bröstcancerforskning ska man välja oss”,False
Artrossprutan som får pälsklingarna på benen,https://www.di.se/nyheter/artrossprutan-som-far-hundar-och-katter-att-ga-igen-men-manniskor-far-vanta/,Men människor får ännu invänta forskningsframsteg,False
Spiltan dumpade Scandic: ”Blev besvikna”,https://www.di.se/live/spiltan-dumpade-scandic-blev-besvikna/,Börjesson: Dagens marknad påminner om läget före it-kraschen,False
Bankjättarnas chefer varnar: Stor osäkerhet,https://www.di.se/nyheter/bankjattarnas-chefer-varnar-stor-osakerhet/,”Måste vara särskilt vaksamma” • Samtidigt når bankbjässarna rekordresultat,False
Kraftig ökning av färjepriserna till Gotland,https://www.di.se/nyheter/kraftig-okning-av-farjepriserna-till-gotland/,Betydligt större ökningar än bensinpriset eller tågresor på fastlandet,False
Pareto byter fot om Nibe: ”Högre värdering befogad”,https://www.di.se/nyheter/pareto-byter-fot-om-nibe-hogre-vardering-befogad/,Bara värmepumpsdivisionen väntas nå målet i år,False
FI ger betaltjänstbolaget sanktionsavgift,https://www.di.se/live/fi-ger-zimpler-sanktionsavgift-for-overtradelser-av-penningtvattsregler/,Överträdelser av penningtvättsregler • EQT-toppar storägare,False
No headline,https://www.di.se/nyheter/nasta-front-i-hybridkriget-rymden-en-tickande-bomb/,No summary,False
Superguide: Allt du behöver veta inför rapporterna,https://www.di.se/analys/superguide-till-hostens-rapporter/,Di:s experter vägleder dig – dag för dag,False
Apples vd lovar ökade investeringar i Kina,https://www.di.se/live/apples-vd-lovar-okade-investeringar-i-kina/,Trots att Trump hotat med tullar på bolagets utlandstillverkade produkter,False
Emilshus lyfter förvaltningsresultatet,https://www.di.se/live/emilshus-lyfter-forvaltningsresultatet/,Höjer prognos för helåret,False
Vd:n i Di TV: ”Väldigt nöjda – höjer prognos”,https://www.di.se/ditv/borsmorgon/okat-forvaltningsresultat-for-emilshus-valdigt-nojda-hojer-prognos/,No summary,False
Kommentar.Nu blir Flat Capitals ägare vinnare,https://www.di.se/nyheter/efter-kritiken-siemiatkowski-sockrar-flat-affaren/,Robert AnderssonSiemiatkowski sockrar budet – rejält,False
Flat Capital rusar efter Siemiatkowskis nya bud,https://www.di.se/live/flat-capital-rusar-efter-siemiatkowskis-nya-bud/,No summary,False
Biljätten lägger 124 miljarder på produktion i USA,https://www.di.se/live/biljatten-satsar-124-miljarder-pa-produktion-i-usa/,Väntas ge 5.000 jobb,False
Halvledarbolagets försäljning lägre än väntat,https://www.di.se/live/halvledarbolagets-forsaljning-lagre-an-vantat-vinsten-hogre/,Nettoresultatet marginellt över förväntan,False
No headline,https://www.di.se/live/ericsson-lyfte-stockholmsborsen-basta-dagen-sedan-stenbecks-bortgang/,No summary,False
Ekholm: Måste ta tag i överfulla kassan,https://www.di.se/nyheter/ekholm-maste-ta-tag-i-overfulla-kassan/,No summary,False
Kommentar.Ekholms spariver biter,https://www.di.se/analys/besparingsprogrammen-biter-i-ericsson/,Ulf PeterssonKurslyftet är välförtjänt,False
Rapporten hyllas av storägare och analytiker,https://www.di.se/live/analytiker-hyllar-ericssons-starka-rapport/,No summary,False
Uppåt i Asien trots nya utspel i handelskonflikt,https://www.di.se/live/morgonkoll-uppat-i-asien-trots-nya-utspel-i-handelskonflikt/,Trumps senaste utspel handlar om kinesisk matolja,False
Bitcoinbeslag på 143 miljarder i bedrägerihärva,https://www.di.se/nyheter/bitcoinbeslag-pa-143-miljarder-i-bedrageriharva/,Tvingat hundratals människor i Kambodja att begå bedrägerier världen över,False
Stöldligornas favoritbyte: Lampor från familjebilen,https://www.di.se/nyheter/stoldligornas-favoritbyte-lampor-fran-familjebilen/,Samtidigt ökar stölderna av crossmotorcyklar,False
Arbetslösheten sjunker – andra månaden i rad,https://www.di.se/live/arbetslosheten-sjunker-andra-manaden-i-rad/,Unga utan jobb lägre än i fjol,False
Trump: Spanien ”bör straffas” för låga försvarsutgifter,https://www.di.se/live/trump-spanien-bor-straffas-for-laga-forsvarsutgifter/,Överväger tullar på spanska varor,False
Trump överväger nytt handelshinder mot Kina,https://www.di.se/live/trump-overvager-nytt-handelshinder-mot-kina/,Skapade ny oro på Wall Street,False
Trump: Kapar stöd om vännen förlorar valet,https://www.di.se/live/trump-kapar-stod-om-vannen-forlorar-valet/,No summary,False
EU dras in i Kina och USA:s halvledarkrig,https://www.di.se/nyheter/eu-dras-in-i-kina-och-usa-s-halvledarkrig/,Nederländska draget banar väg för hårdare linje mot kinesiska ägare,False
Advokater rasar: ”Går inte att vinna mot staten”,https://www.di.se/nyheter/advokater-rasar-domstolar-slarvar-med-skattemal/,Advokatsamfundet sågar domstolarnas arbete med skattemål,False
